to hasten	arifachu
one who is in a hury	arifata
copulation	arisa
hury	ariti
generous	arja
rough	arjajawa
to be rough	arjajawu
charity	arjoma
charitable	arjoma
to be generous	arjomu
kindnes	arjuma
same as barmowaduri	arkiyoloji
lick	arabi
index finger	arabicho
vacum cleaner	arabkosi
crow	arangesa
milipede	arangesa roba
comunique'	arata
tongue	araba
rough tongue	araba arjajawa
gulf	araba bishani
flame	araba ibida
triger	araba qawe
uvula	araba xina
an agresive person who atacks people with words	arabdotesa
slanderer	arabsitu
abuse	arabso
bright red	arawa
toilet paper	ariyo
asbestos	asbesto
aspirin	asbirina
atorney general	aseba
god	aselo
entry	asento
asphaltic	asfaltefama
to asphalt	asfaltesu
asphalt	asfalti
fingerprint	ashara
lines of palm	ashara baru
fingerprint	ashara quba
salt	ashabo
table salt	ashabo nyata
one who formulates	ashaka
formulation	ashaki
to formulate	ashaku
to entertain	ashanansisu
ripe	asheta
ripe honey	asheta dama
to be ripe	ashetu
bride	ashile
soya bean	ashongore
bridegrom	asho
tal savanah gras	ashufe
same as kato	ashura
same as dhangage	asida
miscelaneous	asifachi
clas work	asite
Asia	Asiya
Central Asia	Asiya Waltaji
Asia Minor	Asiya Xino
same as nube	asmari
same as uka	asmi
novel	asodhe
short story	asoga
writer of a fiction	asosa
fiction	asosama
novelete	asosame
creative work	asosami
to write a fiction	asosu
criminal novel	asodhe yaki
same as barmurji	astironomi
sign	asxa
sign of multiplication	asxa bay'iso
bokmark	asxa baro
sign of adition	asxa dabalto
symptom	asxa dhukuba
trafic sign	asxa godanti
positive sign	asxa guto
sign of subtraction	asxa hir'iso
sign of division	asxa hirto
negative sign	asxa homto
to mark	asxesu
stuborn	atakama
dregs	atala
godes of fertility which is worshiped by Oromo women	atete
athletics	atiletiksi
same as qilmarsa	atmosfera
same as ofe	atomatika
poly atomic	atom-dane
diatomic	atom-lame
mono atomic	atom-toke
harmony	atoma
federal	atoma
united	atomama
atomic	atomawa
atom	atomi
confederation	atomano
aliance	atomi
the league of Oromo	atomi Oromo
the Seven League of Oromo	atomi torban Oromo
conciliator	atomsa
league	atomsi
to reconcile	atomsu
unification	atomuma
output	atota
big plain without bushes or tres	ata
atache'	atashe
cultural atache'	atashe ada
pres atache'	atashe piresa
military atache'	atashe warana
heathen	awama
heathenism	awamuma
locust	awanisa
Awash	Awash
Lower Awash	Awash Gadanu
Uper Awash	Awash Olanu
grave	awala
burial ground for Muslims	awala Islama
traditional Oromo cemetery	awala kaba
burial ground for Christians	awala Kiristana
one who buries	awala
ardvark	awaldigesa
to bury	awalu
dustles	awar-malesa
ful of dust	awar-qabesa
dust	awara
dusty area	aware
to become dusty	awaromu
a kind of grain disease on the head of wheat or milet	awaro
musical band	awiso
very smart	axari
abstract	axerara
abstracted	axerarama
abstraction	axeraruma
to abstract	axeraru
heritage	aya
cultural heritage	aya ada
gene pol	aya sanyunde
ion	ayona
spiritual culture	ayada
fortune	ayana
centenary	ayana bardhibe
Independence Day	ayana bilisuma
Epiphany	ayana cuba
god luck	ayana gari
evil spirit	ayana hama
celebration of a victory day	ayana injifano
